stable_id,doi,title,authors_status,authors_count_before,authors_count_after,abstract_status,keywords_status,publisher_status,bibliographic_status,metadata_primary_source,metadata_secondary_source,metadata_retrieved_at,manual_review_required,notes
C2024-03,10.1109/ICEMCE64157.2024.10862072,Leveraging Spatial Information with MobileViT for Enhanced Microwave Measurement,partial,5,4,missing,missing,missing,failed,,,,yes,
C2024-04,10.1145/3638837.3638882,Leveraging Graph Databases for Automated OPC UA Information Model Construction,partial,5,4,missing,missing,missing,failed,,,,yes,
C2025-01,10.1109/ICICML67980.2025.11333492,SSOD-YOLO: A Generalized Semi-supervised Object Detection Framework for YOLO Networks,partial,5,4,missing,missing,missing,failed,,,,yes,
C2025-02,10.1109/IFEEA66847.2025.11388411,A Bi-ACGAN Based Fiber Optic Vibration Sensing System for Idler Fault Inspection,partial,5,4,missing,missing,missing,failed,,,,yes,
C2025-03,10.1109/ICIT63637.2025.10965252,Belt Blockage Detection on Low-Visibility Environment Based on YOLOv8s and MobileVit,partial,5,4,missing,missing,missing,failed,,,,yes,
C2026-01,10.1109/PSESG69490.2026.11544780,An Intelligent Inspection Robot System for Offshore Wind Power Platforms,partial,5,4,missing,missing,missing,failed,,,,yes,
C2026-02,10.1109/ECIE69549.2026.11565686,A Parametric Study of Microwave Detection of Metallic Foreign Objects on Coal Conveyor Belts,partial,0,0,missing,missing,missing,failed,,,,yes,
J2018-01,10.1155/2018/2713729,A Low-Cost Consistent Vehicle Localization Based on Interval Constraint Propagation,partial,2,2,missing,missing,missing,failed,,,,yes,
J2018-02,10.1155/2018/3769058,Localization of a Vehicle: A Dynamic Interval Constraint Satisfaction Problem-Based Approach,partial,5,4,missing,missing,missing,failed,,,,yes,
J2019-01,,Constraint Propagation based Approach for Simultaneous Localization And Mapping of Mobile Robots,partial,4,4,missing,missing,missing,failed,,,,yes,
J2019-02,10.3390/computers8030063,Dynamic ICSP Graph Optimization Approach for Car-Like Robot Localization in Outdoor Environments,partial,3,3,missing,missing,missing,failed,,,,yes,
J2020-01,10.1109/TBC.2020.2981755,5G Internet of Radio Light Positioning System for Indoor Broadcasting Service,partial,5,4,missing,missing,missing,failed,,,,yes,
J2022-01,10.1117/1.OE.61.12.126103,OFDM-based 2D generalized optical quadrature spatial modulation for MIMO-OWC systems,partial,5,4,missing,missing,missing,failed,,,,yes,
J2022-02,10.1088/1742-6596/2216/1/012100,A composite image recognition based approach for spontaneous combustion point detection and positioning in coal piles,partial,5,4,missing,missing,missing,failed,,,,yes,
J2023-01,10.1016/j.asoc.2023.111138,A lightweight network based on local-global feature fusion for real-time industrial invisible gas detection with infrared thermography,partial,5,4,missing,missing,missing,failed,,,,yes,
J2023-02,10.1117/1.OE.62.6.068102,Power allocation scheme using particle swarm optimization for visible light communication systems,partial,5,4,missing,missing,missing,failed,,,,yes,
J2023-03,10.1007/s10043-023-00789-w,On the BER performance of QoS-aware multi-user OWC uplink using mCAP-NOMA,partial,5,4,missing,missing,missing,failed,,,,yes,
J2024-01,10.1007/s12206-024-1142,An optimal method for the manipulator to plan a complex trajectory with multiple scattered discontinuous paths,partial,5,4,missing,missing,missing,failed,,,,yes,
J2024-02,10.3390/s24227245,Multi-Frequency Microwave Sensing System with Frequency Selection Method for Pulverized Coal Concentration,partial,5,4,missing,missing,missing,failed,,,,yes,
J2024-03,10.1016/j.patcog.2024.110562,Granular3D: Delving into multi-granularity 3D scene graph prediction,partial,5,4,missing,missing,missing,failed,,,,yes,
J2025-01,10.3969/j.issn.1001-3881.2025.24.031,面向巡检应用的 ＲGBD 相机主动视角矫正方法,partial,7,7,missing,missing,missing,failed,,,,yes,
J2025-02,10.1016/j.engappai.2025.110640,A lightweight and robust detection network for diverse glass surface defects via scale- and shape-aware feature extraction,partial,5,4,missing,missing,missing,failed,,,,yes,
J2025-03,10.3390/electronics14152966,Consistency-Oriented SLAM Approach: Theoretical Proof and Numerical Validation,partial,5,4,missing,missing,missing,failed,,,,yes,
J2025-04,10.3785/j.issn.1008-973X.2025.07.016,基于多目标约束的无人机光顺路径生成全局优化方法,partial,6,6,missing,missing,missing,failed,,,,yes,
J2026-01,10.1038/s41598-026-42936-8,Hybrid neural network for personnel recognition and tracking in remote bidding evaluation monitoring,partial,5,4,missing,missing,missing,failed,,,,yes,
